2025-01-10 13:52:23.7720 Info Application Start
2025-01-10 13:52:25.3208 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 13:53:47.0253 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:06:02.0512 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:14:47.2395 Info Application Start
2025-01-10 14:14:47.5613 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:32:28.2050 Info Application Start
2025-01-10 14:32:29.4689 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:41:56.2442 Info Application Start
2025-01-10 14:41:57.5877 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 15:35:49.5100 Info Application Start
2025-01-10 15:43:26.5506 Info Application Start
2025-01-10 15:44:40.2034 Info Application Start
2025-01-10 15:48:01.1287 Info Application Start
2025-01-10 16:54:09.0920 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:54:09.1499 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:54:09.1499 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:54:14.9942 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:54:14.9942 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:54:15.0132 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:54:15.0132 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:54:15.1069 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:54:15.1069 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:54:19.9809 Trace Executing Controller: UserRole, Action: DeleteRole
2025-01-10 16:54:19.9809 Trace Executed Controller: UserRole, Action: DeleteRole
2025-01-10 16:54:58.8447 Trace Executing Controller: MainMember, Action: Index
2025-01-10 16:54:58.8447 Trace Executed Controller: MainMember, Action: Index
2025-01-10 16:54:58.8593 Trace Executing Controller: MainMember, Action: Index
2025-01-10 16:54:58.8593 Trace Executed Controller: MainMember, Action: Index
2025-01-10 16:54:58.9614 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:54:58.9614 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:21.8981 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:21.8981 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:22.8745 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:22.8745 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:23.7460 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:23.7927 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:24.7054 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:24.7054 Trace Executed Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:25.6836 Trace Executing Controller: MainMember, Action: GetSortedMember
2025-01-10 16:55:25.6836 Trace Executed Controller: MainMember, Action: GetSortedMember
